,player_id,player_name,web_name,first_name,second_name,team_id,players_team,was_home,players_team_score,opponent_team_score,round,round_minutes,round_points,transfer_cost,transfers_balance,selected,transfers_in,transfers_out,ict_index,position_id,position_name,position_name_abbr,next_week_round_points,cumsum_minutes,cumsum_points,cumsum_ict_index,cumsum_transfers_in,cumsum_transfers_out,next_week_is_home,next_week_opponent_team_name
23,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,0.0,1.0,3,0,0,4,-11575,81016,1131,12706,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,3261,24670,1,Nott'm Forest
24,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,3.0,0.0,4,0,0,4,-6913,76258,1271,8184,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,4532,32854,1,Man City
25,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,1.0,1.0,5,0,0,4,-5570,71572,689,6259,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5221,39113,0,Newcastle
26,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,2.0,1.0,6,0,0,4,-4229,67990,713,4942,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5934,44055,1,West Ham
27,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,2.0,0.0,7,0,0,4,-3442,64932,461,3903,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,6395,47958,0,Fulham
28,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,1.0,0.0,8,0,0,4,-3767,61782,442,4209,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,6837,52167,1,Crystal Palace
29,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,1.0,0.0,9,0,0,4,-2402,59724,221,2623,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,7058,54790,0,Burnley
30,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,2.0,0.0,10,0,0,4,-2150,57825,423,2573,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,7481,57363,0,Sunderland
31,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,2.0,2.0,11,0,0,4,-2012,56075,386,2398,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,7867,59761,1,Spurs
32,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,4.0,1.0,12,0,0,4,-1215,55291,404,1619,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,8271,61380,0,Chelsea
33,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,1.0,1.0,13,0,0,4,-1178,54420,238,1416,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,8509,62796,1,Brentford
34,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,2.0,0.0,14,0,0,4,-668,53843,244,912,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,8753,63708,0,Aston Villa
35,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,1.0,2.0,15,0,0,4,-794,53294,378,1172,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,9131,64880,1,Wolves
36,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,2.0,1.0,16,0,0,4,-1491,51955,811,2302,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,9942,67182,0,Everton
37,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,1.0,0.0,17,0,0,4,-499,51812,666,1165,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,10608,68347,1,Brighton
38,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,2.0,1.0,18,0,0,4,-510,51553,573,1083,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,11181,69430,1,Aston Villa
39,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,4.0,1.0,19,0,0,4,-382,51712,380,762,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,11561,70192,0,Bournemouth
40,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,0,3.0,2.0,20,0,0,4,-273,51046,315,588,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,11876,70780,1,Liverpool
41,2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,Arsenal,1,,,21,0,0,4,-455,50726,283,738,0.0,1,Goalkeeper,GKP,,0,0,0.0,12159,71518,0,Nott'm Forest
42,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,1.0,0.0,1,0,0,4,0,55400,0,0,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,0,0,1,Leeds
43,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,5.0,0.0,2,0,0,4,-1321,64836,3835,5156,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,3835,5156,0,Liverpool
